title,min,max,center,mean,all_years,used_expressions,ignored_expressions
"GAG142: Bertha Pappenheim – Gründerin des Jüdischen Frauenbundes und Sozialpionierin
",1900,1999,1949,1949,"[1900, 1999]","[""20. Jahrhunderts""]",[]
"GAG141: Die kurze Geschichte des Kokovorismus
",1900,1999,1949,1939,"[1900, 1999, 1918]","[""20. Jahrhunderts"", ""August""]",[]
"GAG140: Eisbrecher für die Diplomatie – das Fußball-Länderspiel Sowjetunion gegen die BRD 1955
",1955,1955,1955,1955,"[1955, 1955, 1955]","[""1955"", ""Jahr 1955"", ""21. August 1955""]",[]
"GAG139: Als Voltaire die Lotterie knackte und steinreich wurde
",1700,1799,1749,1749,"[1700, 1799]","[""18. Jahrhunderts""]","[""heute""]"
"GAG138: Askari und die Kolonialgeschichte des Deutschen Reichs
",1800,1899,1849,1849,"[1800, 1899]","[""19. Jahrhunderts""]",[]
"GAG137: Die Französisch-Britische Union
",1940,1955,1947,1947,"[1955, 1940]","[""diese Woche"", ""1940""]",[]
"GAG136: Der Jüdische Friedhof Währing
",1800,1899,1849,1849,"[1800, 1899, 1800, 1899]","[""19. Jahrhundert"", ""19. Jahrhunderts""]",[]
"GAG135: Adolf Loos
",1928,2014,1971,1971,"[1928, 2014]","[""1928"", ""2014""]",[]
"GAG134: Eine kleine Geschichte des Kaiserschnitts anhand der Personen Jacob Nufer, James Barry und Margret Ann Bulkley
",1500,1899,1699,1699,"[1500, 1599, 1800, 1899]","[""16. Jahrhundert"", ""19. Jahrhundert""]",[]
"GAG133: Alexios Komnenos und der Erste Kreuzzug
",1095,1095,1095,1095,[1095],"[""Jahr 1095""]",[]
"GAG132: Gesche Gottfried, der Engel von Bremen
",1800,1955,1877,1884,"[1955, 1800, 1899]","[""dieser Woche"", ""19. Jahrhundert""]","[""bald"", ""heute""]"
"GAG131: Strathclyde – ein (fast) vergessenes Königreich
"
"GAG130: Alexander von Abonuteichos oder Wie ein Kult entsteht
",100,1955,1027,751,"[1955, 100, 199]","[""dieser Woche"", ""2. Jahrhundert""]","[""bald"", ""heute""]"
"GAG129: Die Entdeckung der Dinosaurier
",1800,1899,1849,1849,"[1800, 1899]","[""19. Jahrhunderts""]",[]
"GAG128: Crash at Crush
",1800,1899,1849,1849,"[1800, 1899]","[""19. Jahrhunderts""]",[]
"GAG127: Struensee – Aufstieg und Fall eines Arztes, der (für kurze Zeit) zum dänischen Regenten wurde
",1760,1769,1764,1764,"[1760, 1769]","[""1760er Jahre""]",[]
"GAG126: Für immer im Eis – die Franklin Expedition
",1800,1899,1849,1849,"[1800, 1899]","[""19. Jahrhunderts""]","[""heute""]"
"GAG125: Republik Fredonia
",1826,1836,1831,1831,"[1826, 1836]","[""Jahr 1826"", ""1836""]",[]
"GAG124: Eine kleine Geschichte des Chinese Restaurant Syndroms
",1900,1999,1949,1949,"[1900, 1999]","[""20. Jahrhunderts""]","[""heute""]"
"GAG123: Christian Gottlieb Prieber – Aussteiger, Renegade und beinahe vergessener Utopist
",1700,1799,1749,1749,"[1700, 1799]","[""18. Jahrhundert""]",[]
"GAG122: Die Belagerung von Masada
",0,99,49,49,"[0, 99]","[""1. Jahrhundert""]","[""heute""]"
"GAG121: Leopardenmorde und Leopardenmenschen
",1850,1950,1900,1900,"[1850, 1950]","[""1850"", ""1950""]",[]
"GAG120: Die Rückkehr des Martin Guerre
",1500,1958,1729,1685,"[1500, 1599, 1958]","[""16. Jahrhundert"", ""Acht Jahre später""]",[]
"GAG119: Die NS-Thingbewegung – Thingstätten und Thingspiele
",400,1933,1166,1166,"[1933, 400]","[""1933"", ""400""]","[""heute""]"
"GAG118: Ein Werwolf in Livland
",1600,1699,1649,1649,"[1600, 1699]","[""17. Jahrhundert""]",[]
"GAG117: Tunix, Tuwat und die Entstehung des Chaos Computer Clubs
",1970,1981,1975,1978,"[1978, 1978, 1981, 1981, 1981, 1970, 1979, 1981, 1977, 1979]","[""Ende Januar 1978"", ""Herbst"", ""Drei Jahre später"", ""August 1981"", ""März"", ""70er Jahre"", ""Herbst"", ""1977"", ""1979""]","[""heute"", ""wenige Jahre später""]"
"GAG116: Über Basken, Wale und ein Massaker auf Island
",2015,2015,2015,2015,"[2015, 2015]","[""Jahr 2015"", ""Sommer""]",[]
"GAG115: Eine kurze Geschichte der Hanse
",1100,1199,1149,1149,"[1100, 1199]","[""12. Jahrhundert""]",[]
"GAG114: Gerhard Zucker und sein Raketentraum
",1900,1999,1949,1949,"[1900, 1999]","[""20. Jahrhunderts""]",[]
"GAG113: Die Hep-Hep-Unruhen von 1819
",1815,1848,1831,1829,"[1819, 1819, 1815, 1848, 1848]","[""1819"", ""1819"", ""1815"", ""1848"", ""August""]","[""heute""]"
"GAG112: Adele Spitzeder und die „Dachauer Bank“
",1800,1899,1849,1853,"[1800, 1899, 1870, 1800, 1899]","[""19. Jahrhundert"", ""1870"", ""19. Jahrhunderts""]",[]
"GAG111: Die Anfänge des Esperanto
",1800,1908,1854,1876,"[1870, 1800, 1899, 1907, 1908]","[""die zweite Hälfte"", ""19. Jahrhunderts"", ""1907"", ""1908""]","[""heute""]"
"GAG110: 110, 112, 999, etc.
"
"GAG109: Der Lotterieaufstand in Albanien
",1996,1997,1996,1996,"[1996, 1997]","[""1996"", ""97""]",[]
"GAG108: Der Paderborner Kaffeelärm
"
"GAG107: Eine kurze Geschichte der Guillotine
"
"GAG106: Das Darién-Projekt und seine Folgen
",1600,1699,1649,1649,"[1600, 1699]","[""17. Jahrhundert""]",[]
"GAG105: Skanderbeg – Ein neuer Alexander und seine Bedeutung für die Geschichte Albaniens
"
"GAG104: Crécy - Chronik eines Versagens
"
"GAG103: Demoskopie – eine kurze Geschichte der (politischen) Meinungsforschung
",1900,1999,1949,1945,"[1900, 1999, 1936]","[""20. Jahrhundert"", ""1936""]",[]
"GAG102: Ein Picknick, das die Welt verändert
",1989,1989,1989,1989,[1989],"[""1989""]",[]
"GAG101: Leon Theremin – Was die Anfänge der elektronischen Musik mit Überwachungstechniken zu tun haben
"
"GAG100: Der Fall der „Mignonette“ und seine Folgen
",1800,1955,1877,1884,"[1955, 1800, 1899]","[""dieser Woche"", ""19. Jahrhunderts""]",[]
"GAG99: Ignaz Semmelweis und die Bekämpfung des Kindbettfiebers
",1800,1899,1849,1848,"[1800, 1899, 1847]","[""19. Jahrhunderts"", ""1847""]","[""heute""]"
"GAG98: Über Schoßhunde und gierige Affen
"
"GAG97: Neutral-Moresnet – Ein Niemandsland mitten in Europa
"
"GAG96: Von der Entstehung des Croissants und anderen kulinarischen Mythen
"
"GAG95: Der Aufstieg des Jakob Fugger
",1500,1500,1500,1500,[1500],"[""1500""]","[""heute""]"
"GAG94: Wer zittert nicht vor den Mohocks?
",1700,1799,1749,1737,"[1700, 1799, 1712]","[""18. Jahrhundert"", ""Frühjahr 1712""]",[]
"GAG93: Das Geheimnis des Lebens – Wie es zur Entdeckung der Doppelhelix kam
",1950,1959,1954,1954,"[1950, 1959]","[""die 1950er Jahre""]",[]
"GAG92: Die Geschichte der Typhoid Mary
",1900,1999,1949,1949,"[1900, 1999]","[""20. Jahrhundert""]",[]
"GAG91: Jan van Eyck – Der König unter den Malern und die Erfindung des Gemäldes
",1430,1712,1571,1524,"[1712, 1430, 1430]","[""Jan"", ""1430"", ""Jan""]",[]
"GAG90: Aufstieg und Fall des Roger Casement
",1800,1899,1849,1849,"[1800, 1899]","[""19. Jahrhunderts""]",[]
"GAG89: Seelenkonskription – die Anfänge der modernen Volkszählungen
",1753,1754,1753,1753,"[1753, 1754]","[""1753"", ""54""]",[]
"GAG88: Von der Tanzwut und ihrer (wahrscheinlichen) Ursache
"
"GAG87: Die Einführung von Freigeld und das Wunder von Wörgl
",1930,1939,1934,1934,"[1930, 1939]","[""die 1930er Jahre""]","[""bald""]"
"GAG86: Sabbatai Zwi – Der falsche Messias
"
"GAG85: Ein Arm, ein Hai, ein Kriminalfall
",1930,1939,1934,1934,"[1930, 1939]","[""die 1930er Jahre""]",[]
"GAG84: Eine kleine Geschichte des Klimas und des Klimawandels
",1754,1754,1754,1754,[1754],"[""Winter""]","[""heute""]"
"GAG83: 100 Jahre vor der Reformation – Jan Hus und die Hussitenkriege
",1754,1754,1754,1754,"[1754, 1754, 1754]","[""Jan"", ""Dieses Jahr"", ""Jan""]",[]
"GAG82: Victor Gruen und die Erfindung des Einkaufszentrums
",1900,1999,1949,1962,"[1900, 1999, 1970, 1979]","[""20. Jahrhunderts"", ""den 1970er-Jahren""]",[]
"GAG81: Eine kurze Geschichte des Essbestecks (aber ohne Löffel)
"
"GAG80: Eine Kirche auf dem Dachboden – Reformation und das Goldene Zeitalter in den Niederlanden
",1661,1899,1780,1799,"[1661, 1661, 1800, 1899, 1888, 1888]","[""1661"", ""Jan"", ""19. Jahrhunderts"", ""1888"", ""Jan""]","[""heute""]"
"GAG79: Das Rolandslied – über Heldentaten, Karl den Großen und Kreuzzugspropaganda
",1100,1199,1149,1149,"[1100, 1199]","[""12. Jahrhundert""]","[""heute""]"
"GAG78: Eine kurze Geschichte der Sommerzeit
",1888,1888,1888,1888,"[1888, 1888]","[""März"", ""Oktober""]",[]
"GAG77: Der Augsburger Kalenderstreit: Folgen eines tatsächlichen Zeitsprungs
",1582,1582,1582,1582,"[1582, 1582, 1582]","[""Jahr 1582"", ""4. Oktober"", ""15. Oktober""]",[]
"GAG76: Holdouts – Japans vergessene Soldaten
",1970,1979,1974,1974,"[1970, 1979]","[""1970er Jahre""]",[]
"GAG75: Sobhuza II., König von Swaziland
",1800,1999,1899,1899,"[1800, 1899, 1900, 1999]","[""19. Jahrhunderts"", ""20. Jahrhunderts""]",[]
"GAG74: Die Bonnot-Bande und die Erfindung des Fluchtautos
",1870,1912,1891,1893,"[1870, 1879, 1911, 1912]","[""den 1870er Jahren"", ""1911"", ""1912""]",[]
"GAG73: Ludwig XIV. und seine pikante Operation
",1600,1699,1649,1649,"[1600, 1699]","[""17. Jahrhundert""]",[]
"GAG72: Phantominseln
",1582,1582,1582,1582,[1582],"[""dieser Woche""]",[]
"GAG71: Wie die Kartoffel nach Europa kam (und alles veränderte)
"
"GAG70: Die Würzburger Lügensteine
",1725,1726,1725,1725,"[1725, 1726]","[""Jahr 1725"", ""26""]","[""bald""]"
"GAG69: Die Boston Melasse Katastrophe
",1900,1999,1949,1949,"[1900, 1999]","[""20. Jahrhunderts""]",[]
"GAG68: Eine ganz kleine Geschichte der Mikroskopie
"
"GAG67: Palladio, der erfolgreichste Architekt aller Zeiten
",1500,1599,1549,1549,"[1500, 1599]","[""16. Jahrhundert""]","[""heute""]"
"GAG66: Der Aufstieg Hamburgs – Fake it 'til you make it
",700,899,799,799,"[700, 799, 800, 899]","[""8."", ""9. Jahrhundert""]",[]
"GAG65: Die Erfindung des diamantenen Verlobungsrings
",1800,1999,1899,1899,"[1800, 1899, 1900, 1999]","[""19. Jahrhunderts"", ""20. Jahrhunderts""]","[""heute""]"
"GAG64: Paul Dirac und die Schönheit der Mathematik
",1902,1984,1943,1939,"[1902, 1984, 1933]","[""1902"", ""1984"", ""1933""]","[""heute""]"
"GAG63: Konstantin und die Janitscharen
",1400,1499,1449,1449,"[1400, 1499]","[""15. Jahrhundert""]",[]
"GAG62: Eine kurze Geschichte der Rollschuhe und des Rollschuhfahrens
",1800,1949,1874,1885,"[1800, 1899, 1863, 1863, 1940, 1949]","[""19. Jahrhunderts"", ""1863"", ""Sommer"", ""die 1940er Jahre""]",[]
"GAG61: Die niederländische ""Tulpenmanie"" (und warum sie gar nicht so schlimm war)
",1600,1699,1649,1649,"[1600, 1699]","[""17. Jahrhundert""]",[]
"GAG60: Wie das Essengehen erfunden wurde
",1800,1800,1800,1800,[1800],"[""1800""]",[]
"GAG59: The Lost Colony
",1500,1599,1549,1567,"[1500, 1599, 1580, 1589]","[""16. Jahrhundert"", ""den 1580er Jahren""]","[""heute""]"
"GAG58: Londoner Kutschenstreit
",1661,1661,1661,1661,[1661],"[""30. September 1661""]",[]
"GAG57: Von Grabtüchern, Knochen und wieder mal Venedig
",1661,1661,1661,1661,[1661],"[""diese Woche""]",[]
"GAG56: Piggly Wiggly und die Geschichte des Supermarkts
",1916,1916,1916,1916,[1916],"[""1916""]","[""heute""]"
"GAG55: Der letzte Kammerdiener des alten Kaisers
",1916,1916,1916,1916,[1916],"[""21. November""]",[]
"GAG54: Die erste Rektorin einer deutschen Universität
",1965,2016,1990,1983,"[1965, 1968, 2016]","[""1965"", ""1968"", ""September 2016""]",[]
"GAG53: Ein Verrat und ein langer Strich auf der Berliner Mauer
",1980,1989,1984,1984,"[1980, 1989]","[""die 1980er Jahre""]",[]
"GAG52: Die Geschichte der Annie Londonderry, ""New Woman"" und Fahrradweltreisende
"
"GAG51: Eine kurze Geschichte der Rhythmologie und der Erforschung des Herzens
",-499,1999,750,750,"[-400, -499, 1900, 1999]","[""5. Jahrhundert vor Christus"", ""20. Jahrhunderts""]",[]
"GAG50: Ossian, ein altgälisches Epos wie keines davor
",1700,1799,1749,1749,"[1700, 1799]","[""18. Jahrhundert""]",[]
"GAG49: Der »Dig Tree« und die erste Durchquerung Australiens
",1860,1860,1860,1860,[1860],"[""1860""]",[]
"GAG48: George Ansons katastrophale Expedition – und ihre Folgen
",1740,1740,1740,1740,[1740],"[""Jahr 1740""]",[]
"GAG47: Die Schwabenkinder und ihre Geschichte
"
"GAG46: Aufstieg und Fall der Republik Ragusa
",1800,1899,1849,1849,"[1800, 1899]","[""19. Jahrhundert""]",[]
"GAG45: Zwentendorf – Das sicherste Kernkraftwerk der Welt
",1970,1979,1974,1974,"[1970, 1979]","[""den 1970er Jahren""]",[]
"GAG44: Eine kurze Geschichte der Süßigkeiten
"
"GAG43: Josef Eisemann, Seiltänzer in Wien
",1949,1949,1949,1949,[1949],"[""Sommers 1949""]",[]
"GAG42: The City of Roses – Ein Rosengarten für Portland
",1917,1917,1917,1917,[1917],"[""1917""]","[""Heute""]"
"GAG41: Der Wiener Kreis und die Ermordung von Moritz Schlick
",1900,1999,1949,1945,"[1936, 1900, 1999]","[""22. Juni 1936"", ""20. Jahrhunderts""]",[]
"GAG40: Über den Ursprung der Seidenstraße
"
"GAG39: Die Legion Erzengel Michael und Corneliu Codreanu
"
"GAG38: Eine kurze Geschichte der Leibeigenschaft
"
"GAG37: Eine Reise um die Welt
",1846,1846,1846,1846,[1846],"[""Jahr 1846""]",[]
"GAG36: Eine sehr kurze Geschichte des Deodorants
",1900,1999,1949,1949,"[1900, 1999]","[""20. Jahrhunderts""]","[""heute""]"
"GAG35: Magia Posthuma – Vampirismus in Zeiten der Aufklärung
",1700,1799,1749,1749,"[1700, 1799]","[""18. Jahrhundert""]",[]
"GAG34: Tee, Silber und Rauschmittel
",1700,1999,1849,1849,"[1700, 1799, 1800, 1899, 1900, 1999]","[""18. Jahrhundert"", ""19. Jahrhundert"", ""20. Jahrhundert""]","[""heute""]"
"GAG33: Curta – eine Rechenmaschine und ihre Geschichte
",1930,1947,1938,1938,"[1936, 1930, 1939, 1947]","[""dieser Woche"", ""den 1930er Jahren"", ""1947""]",[]
"GAG32: Henry Gunther
",1895,1936,1915,1915,"[1936, 1895]","[""diese Woche"", ""Jahr 1895""]",[]
"GAG31: Blitzkrieg im Fußballstadion
",1941,1941,1941,1941,[1941],"[""1941""]",[]
"GAG30: Wie die Zeit zu unserer Zeit wurde
",1800,1899,1849,1849,"[1800, 1899]","[""19. Jahrhunderts""]",[]
"GAG29: Ein Müller in den Fängen der Inquisition
",1500,1599,1549,1549,"[1500, 1599]","[""16. Jahrhunderts""]",[]
"GAG28: Von Appenzellern, Bregenzern und einer Frau namens Guta
",1400,1499,1449,1449,"[1400, 1499]","[""15. Jahrhundert""]",[]
"GAG27: Die Rote Zora und ihre Vorfahren
"
"GAG26: Wie der Champagner zu seinen Bläschen kam
"
"GAG25: Eine kaiserliche Bibliothek des Menschengeschlechts
",1575,1575,1575,1575,[1575],"[""1575""]",[]
"GAG24: A French Connection, zum Scheitern verurteilt
"
"GAG23: Ziemlich beste Feindschaft oder Die Anfänge der Bakteriologie
",1800,1899,1849,1849,"[1800, 1899]","[""19. Jahrhunderts""]",[]
"GAG22: Vom Goldjungen zum Staatsgefangenen
",1600,1699,1649,1649,"[1600, 1699]","[""17. Jahrhundert""]",[]
"GAG21: Von der Erfindung der Einbauküche
",1920,1929,1924,1924,"[1920, 1929]","[""den 1920er Jahren""]",[]
"GAG20: Von Drachenknochen und Schildkrötenorakeln
",1800,1899,1849,1849,"[1800, 1899]","[""19. Jahrhunderts""]",[]
"GAG19: Wenn ein Wissenschaftler an Drachen glaubt
"
"GAG18: Wie Russland den Bart verlor
",1600,1699,1649,1649,"[1600, 1699]","[""17. Jahrhunderts""]",[]
"GAG17: Eine Urkunde, ein Zeltlager und eine Fälschung
",1156,1156,1156,1156,[1156],"[""Jahr 1156""]",[]
"GAG16: Ton, Steine, Scherben oder wie Rom sich einen achten Hügel baute
"
"GAG15: Das Mailüfterl
",1156,1156,1156,1156,[1156],"[""diesem Jahr""]",[]
"GAG14: Ein englisches Atlantis
"
"GAG13: Ein Spionagefall erschüttert die Habsburger Monarchie
",1913,1913,1913,1913,"[1913, 1913, 1913]","[""Jahr 1913"", ""24."", ""25. Mai""]",[]
"GAG12: Ein Kaiser, ein Gott, viele Todesfälle
"
"GAG11: Von Kindern und Kegeln
"
"GAG10: Craigslist in der Frühen Neuzeit
",1600,1707,1653,1668,"[1600, 1699, 1707]","[""17. Jahrhunderts"", ""1707""]","[""heute""]"
"GAG09: Wer den englischen Parlamentsbrand auf dem Kerbholz hat
",1834,1834,1834,1834,[1834],"[""Oktober 1834""]",[]
"GAG08: Herr der Fliegen
"
"GAG07: Geteilte Habsburger
"
"GAG06: Ada und die Pferdewetten
"
"GAG05: Lernen Sie Geschichte!
",1981,1981,1981,1981,[1981],"[""Jahr 1981""]",[]
"GAG04: Wellingtons Rache, oder: Ein Bein für ein Königreich
",1913,1913,1913,1913,[1913],"[""letzten Tag""]",[]
"GAG03: Fitness-Parcours für den Pharao
"
"GAG02: Tatortschau mit Wiedererkennungswert
"
"GAG01: Vier Langobarden-Könige und ein Trinkbecher
"
